,pokedex_number,name,generation,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed
207,162,Furret,2,Long Body Pokémon,Normal,None,1.8,32.5,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90
208,163,Hoothoot,2,Owl Pokémon,Normal,Flying,0.7,21.2,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50
209,164,Noctowl,2,Owl Pokémon,Normal,Flying,1.6,40.8,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70
210,165,Ledyba,2,Five Star Pokémon,Bug,Flying,1,10.8,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55
211,166,Ledian,2,Five Star Pokémon,Bug,Flying,1.4,35.6,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85
212,167,Spinarak,2,String Spit Pokémon,Bug,Poison,0.5,8.5,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30
213,168,Ariados,2,Long Leg Pokémon,Bug,Poison,1.1,33.5,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40
214,169,Crobat,2,Bat Pokémon,Poison,Flying,1.8,75,Inner Focus,None,Infiltrator,535,85,90,80,70,80,130
215,170,Chinchou,2,Angler Pokémon,Water,Electric,0.5,12,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67
216,171,Lanturn,2,Light Pokémon,Water,Electric,1.2,22.5,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67
217,172,Pichu,2,Tiny Mouse Pokémon,Electric,None,0.3,2,Static,None,Lightning Rod,205,20,40,15,35,35,60
218,173,Cleffa,2,Star Shape Pokémon,Fairy,None,0.3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15
219,174,Igglybuff,2,Balloon Pokémon,Normal,Fairy,0.3,1,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15
220,175,Togepi,2,Spike Ball Pokémon,Fairy,None,0.3,1.5,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20
221,176,Togetic,2,Happiness Pokémon,Fairy,Flying,0.6,3.2,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40
222,177,Natu,2,Tiny Bird Pokémon,Psychic,Flying,0.2,2,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70
223,178,Xatu,2,Mystic Pokémon,Psychic,Flying,1.5,15,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95
224,179,Mareep,2,Wool Pokémon,Electric,None,0.6,7.8,Static,None,Plus,280,55,40,40,65,45,35
225,180,Flaaffy,2,Wool Pokémon,Electric,None,0.8,13.3,Static,None,Plus,365,70,55,55,80,60,45
226,181,Ampharos,2,Light Pokémon,Electric,None,1.4,61.5,Static,None,Plus,510,90,75,85,115,90,55
227,181,Mega Ampharos,2,Light Pokémon,Electric,Dragon,1.4,61.5,Mold Breaker,None,None,610,90,95,105,165,110,45
228,182,Bellossom,2,Flower Pokémon,Grass,None,0.4,5.8,Chlorophyll,None,Healer,490,75,80,95,90,100,50
229,183,Marill,2,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40
230,184,Azumarill,2,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50
231,185,Sudowoodo,2,Imitation Pokémon,Rock,None,1.2,38,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30
232,186,Politoed,2,Frog Pokémon,Water,None,1.1,33.9,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70
233,187,Hoppip,2,Cottonweed Pokémon,Grass,Flying,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50
234,188,Skiploom,2,Cottonweed Pokémon,Grass,Flying,0.6,1,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80
235,189,Jumpluff,2,Cottonweed Pokémon,Grass,Flying,0.8,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110
236,190,Aipom,2,Long Tail Pokémon,Normal,None,0.8,11.5,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85
237,191,Sunkern,2,Seed Pokémon,Grass,None,0.3,1.8,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30
238,192,Sunflora,2,Sun Pokémon,Grass,None,0.8,8.5,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30
239,193,Yanma,2,Clear Wing Pokémon,Bug,Flying,1.2,38,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95
240,194,Wooper,2,Water Fish Pokémon,Water,Ground,0.4,8.5,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15
241,195,Quagsire,2,Water Fish Pokémon,Water,Ground,1.4,75,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35
242,196,Espeon,2,Sun Pokémon,Psychic,None,0.9,26.5,Synchronize,None,Magic Bounce,525,65,65,60,130,95,110
243,197,Umbreon,2,Moonlight Pokémon,Dark,None,1,27,Synchronize,None,Inner Focus,525,95,65,110,60,130,65
244,198,Murkrow,2,Darkness Pokémon,Dark,Flying,0.5,2.1,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91
245,199,Slowking,2,Royal Pokémon,Water,Psychic,2,79.5,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30
246,199,Galarian Slowking,8,Hexpert Pokémon,Poison,Psychic,1.8,79.5,Curious Medicine,Own Tempo,Regenerator,490,95,65,80,110,110,30
247,200,Misdreavus,2,Screech Pokémon,Ghost,None,0.7,1,Levitate,None,None,435,60,60,60,85,85,85
248,201,Unown,2,Symbol Pokémon,Psychic,None,0.5,5,Levitate,None,None,336,48,72,48,72,48,48
249,202,Wobbuffet,2,Patient Pokémon,Psychic,None,1.3,28.5,Shadow Tag,None,Telepathy,405,190,33,58,33,58,33
250,203,Girafarig,2,Long Neck Pokémon,Normal,Psychic,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85
251,204,Pineco,2,Bagworm Pokémon,Bug,None,0.6,7.2,Sturdy,None,Overcoat,290,50,65,90,35,35,15
252,205,Forretress,2,Bagworm Pokémon,Bug,Steel,1.2,125.8,Sturdy,None,Overcoat,465,75,90,140,60,60,40
253,206,Dunsparce,2,Land Snake Pokémon,Normal,None,1.5,14,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45
254,207,Gligar,2,FlyScorpion Pokémon,Ground,Flying,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85
255,208,Steelix,2,Iron Snake Pokémon,Steel,Ground,9.2,400,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30
256,208,Mega Steelix,2,Iron Snake Pokémon,Steel,Ground,10.5,740,Sand Force,None,None,610,75,125,230,55,95,30
257,209,Snubbull,2,Fairy Pokémon,Fairy,None,0.6,7.8,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30
258,210,Granbull,2,Fairy Pokémon,Fairy,None,1.4,48.7,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45
259,211,Qwilfish,2,Balloon Pokémon,Water,Poison,0.5,3.9,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85
260,212,Scizor,2,Pincer Pokémon,Bug,Steel,1.8,118,Swarm,Technician,Light Metal,500,70,130,100,55,80,65
261,212,Mega Scizor,2,Pincer Pokémon,Bug,Steel,2,125,Technician,None,None,600,70,150,140,65,100,75
262,213,Shuckle,2,Mold Pokémon,Bug,Rock,0.6,20.5,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5
263,214,Heracross,2,Single Horn Pokémon,Bug,Fighting,1.5,54,Swarm,Guts,Moxie,500,80,125,75,40,95,85
264,214,Mega Heracross,2,Single Horn Pokémon,Bug,Fighting,1.7,62.5,Skill Link,None,None,600,80,185,115,40,105,75
265,215,Sneasel,2,Sharp Claw Pokémon,Dark,Ice,0.9,28,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115
266,216,Teddiursa,2,Little Bear Pokémon,Normal,None,0.6,8.8,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40
267,217,Ursaring,2,Hibernator Pokémon,Normal,None,1.8,125.8,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55
268,218,Slugma,2,Lava Pokémon,Fire,None,0.7,35,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20
269,219,Magcargo,2,Lava Pokémon,Fire,Rock,0.8,55,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30
270,220,Swinub,2,Pig Pokémon,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50
271,221,Piloswine,2,Swine Pokémon,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50
272,222,Corsola,2,Coral Pokémon,Water,Rock,0.6,5,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35
273,222,Galarian Corsola,2,Coral Pokémon,Ghost,None,0.6,0.5,Weak Armor,None,Cursed Body,410,60,55,100,65,100,30
274,223,Remoraid,2,Jet Pokémon,Water,None,0.6,12,Hustle,Sniper,Moody,300,35,65,35,65,35,65
275,224,Octillery,2,Jet Pokémon,Water,None,0.9,28.5,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45
276,225,Delibird,2,Delivery Pokémon,Ice,Flying,0.9,16,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75
277,226,Mantine,2,Kite Pokémon,Water,Flying,2.1,220,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70
278,227,Skarmory,2,Armor Bird Pokémon,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70
279,228,Houndour,2,Dark Pokémon,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65
280,229,Houndoom,2,Dark Pokémon,Dark,Fire,1.4,35,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95
281,229,Mega Houndoom,2,Dark Pokémon,Dark,Fire,1.9,49.5,Solar Power,None,None,600,75,90,90,140,90,115
282,230,Kingdra,2,Dragon Pokémon,Water,Dragon,1.8,152,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85
283,231,Phanpy,2,Long Nose Pokémon,Ground,None,0.5,33.5,Pickup,None,Sand Veil,330,90,60,60,40,40,40
284,232,Donphan,2,Armor Pokémon,Ground,None,1.1,120,Sturdy,None,Sand Veil,500,90,120,120,60,60,50
285,233,Porygon2,2,Virtual Pokémon,Normal,None,0.6,32.5,Trace,Download,Analytic,515,85,80,90,105,95,60
286,234,Stantler,2,Big Horn Pokémon,Normal,None,1.4,71.2,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85
287,235,Smeargle,2,Painter Pokémon,Normal,None,1.2,58,Own Tempo,Technician,Moody,250,55,20,35,20,45,75
288,236,Tyrogue,2,Scuffle Pokémon,Fighting,None,0.7,21,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35
289,237,Hitmontop,2,Handstand Pokémon,Fighting,None,1.4,48,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70
290,238,Smoochum,2,Kiss Pokémon,Ice,Psychic,0.4,6,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65
291,239,Elekid,2,Electric Pokémon,Electric,None,0.6,23.5,Static,None,Vital Spirit,360,45,63,37,65,55,95
292,240,Magby,2,Live Coal Pokémon,Fire,None,0.7,21.4,Flame Body,None,Vital Spirit,365,45,75,37,70,55,83
293,241,Miltank,2,Milk Cow Pokémon,Normal,None,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100
294,242,Blissey,2,Happiness Pokémon,Normal,None,1.5,46.8,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55
295,243,Raikou,2,Thunder Pokémon,Electric,None,1.9,178,Pressure,None,Inner Focus,580,90,85,75,115,100,115
296,244,Entei,2,Volcano Pokémon,Fire,None,2.1,198,Pressure,None,Inner Focus,580,115,115,85,90,75,100
297,245,Suicune,2,Aurora Pokémon,Water,None,2,187,Pressure,None,Inner Focus,580,100,75,115,90,115,85
298,246,Larvitar,2,Rock Skin Pokémon,Rock,Ground,0.6,72,Guts,None,Sand Veil,300,50,64,50,45,50,41
299,247,Pupitar,2,Hard Shell Pokémon,Rock,Ground,1.2,152,Shed Skin,None,None,410,70,84,70,65,70,51
300,248,Tyranitar,2,Armor Pokémon,Rock,Dark,2,202,Sand Stream,None,Unnerve,600,100,134,110,95,100,61
301,248,Mega Tyranitar,2,Armor Pokémon,Rock,Dark,2.5,255,Sand Stream,None,None,700,100,164,150,95,120,71
302,249,Lugia,2,Diving Pokémon,Psychic,Flying,5.2,216,Pressure,None,Multiscale,680,106,90,130,90,154,110
303,250,Ho-oh,2,Rainbow Pokémon,Fire,Flying,3.8,199,Pressure,None,Regenerator,680,106,130,90,110,154,90
304,251,Celebi,2,Time Travel Pokémon,Psychic,Grass,0.6,5,Natural Cure,None,None,600,100,100,100,100,100,100
305,252,Treecko,3,Wood Gecko Pokémon,Grass,None,0.5,5,Overgrow,None,Unburden,310,40,45,35,65,55,70
306,253,Grovyle,3,Wood Gecko Pokémon,Grass,None,0.9,21.6,Overgrow,None,Unburden,405,50,65,45,85,65,95
307,254,Sceptile,3,Forest Pokémon,Grass,None,1.7,52.2,Overgrow,None,Unburden,530,70,85,65,105,85,120
308,254,Mega Sceptile,3,Forest Pokémon,Grass,Dragon,1.9,55.2,Lightning Rod,None,None,630,70,110,75,145,85,145
309,255,Torchic,3,Chick Pokémon,Fire,None,0.4,2.5,Blaze,None,Speed Boost,310,45,60,40,70,50,45
310,256,Combusken,3,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,Blaze,None,Speed Boost,405,60,85,60,85,60,55
311,257,Blaziken,3,Blaze Pokémon,Fire,Fighting,1.9,52,Blaze,None,Speed Boost,530,80,120,70,110,70,80
312,257,Mega Blaziken,3,Blaze Pokémon,Fire,Fighting,1.9,52,Speed Boost,None,None,630,80,160,80,130,80,100
313,258,Mudkip,3,Mud Fish Pokémon,Water,None,0.4,7.6,Torrent,None,Damp,310,50,70,50,50,50,40
314,259,Marshtomp,3,Mud Fish Pokémon,Water,Ground,0.7,28,Torrent,None,Damp,405,70,85,70,60,70,50
315,260,Swampert,3,Mud Fish Pokémon,Water,Ground,1.5,81.9,Torrent,None,Damp,535,100,110,90,85,90,60
316,260,Mega Swampert,3,Mud Fish Pokémon,Water,Ground,1.9,102,Swift Swim,None,None,635,100,150,110,95,110,70
317,261,Poochyena,3,Bite Pokémon,Dark,None,0.5,13.6,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35
318,262,Mightyena,3,Bite Pokémon,Dark,None,1,37,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70
319,263,Zigzagoon,3,TinyRaccoon Pokémon,Normal,None,0.4,17.5,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60
320,263,Galarian Zigzagoon,3,Tiny Raccoon Pokémon,Dark,Normal,0.4,17.5,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60
321,264,Linoone,3,Rushing Pokémon,Normal,None,0.5,32.5,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100
322,264,Galarian Linoone,3,Rushing Pokémon,Dark,Normal,0.5,32.5,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100
323,265,Wurmple,3,Worm Pokémon,Bug,None,0.3,3.6,Shield Dust,None,Run Away,195,45,45,35,20,30,20
324,266,Silcoon,3,Cocoon Pokémon,Bug,None,0.6,10,Shed Skin,None,None,205,50,35,55,25,25,15
325,267,Beautifly,3,Butterfly Pokémon,Bug,Flying,1,28.4,Swarm,None,Rivalry,395,60,70,50,100,50,65
326,268,Cascoon,3,Cocoon Pokémon,Bug,None,0.7,11.5,Shed Skin,None,None,205,50,35,55,25,25,15
327,269,Dustox,3,Poison Moth Pokémon,Bug,Poison,1.2,31.6,Shield Dust,None,Compound Eyes,385,60,50,70,50,90,65
328,270,Lotad,3,Water Weed Pokémon,Water,Grass,0.5,2.6,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30
329,271,Lombre,3,Jolly Pokémon,Water,Grass,1.2,32.5,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50
330,272,Ludicolo,3,Carefree Pokémon,Water,Grass,1.5,55,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70
331,273,Seedot,3,Acorn Pokémon,Grass,None,0.5,4,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30
332,274,Nuzleaf,3,Wily Pokémon,Grass,Dark,1,28,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60
333,275,Shiftry,3,Wicked Pokémon,Grass,Dark,1.3,59.6,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80
334,276,Taillow,3,TinySwallow Pokémon,Normal,Flying,0.3,2.3,Guts,None,Scrappy,270,40,55,30,30,30,85
335,277,Swellow,3,Swallow Pokémon,Normal,Flying,0.7,19.8,Guts,None,Scrappy,455,60,85,60,75,50,125
336,278,Wingull,3,Seagull Pokémon,Water,Flying,0.6,9.5,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85
337,279,Pelipper,3,Water Bird Pokémon,Water,Flying,1.2,28,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65
338,280,Ralts,3,Feeling Pokémon,Psychic,Fairy,0.4,6.6,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40
339,281,Kirlia,3,Emotion Pokémon,Psychic,Fairy,0.8,20.2,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50
340,282,Gardevoir,3,Embrace Pokémon,Psychic,Fairy,1.6,48.4,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80
341,282,Mega Gardevoir,3,Embrace Pokémon,Psychic,Fairy,1.6,48.4,Pixilate,None,None,618,68,85,65,165,135,100
342,283,Surskit,3,Pond Skater Pokémon,Bug,Water,0.5,1.7,Swift Swim,None,Rain Dish,269,40,30,32,50,52,65
343,284,Masquerain,3,Eyeball Pokémon,Bug,Flying,0.8,3.6,Intimidate,None,Unnerve,454,70,60,62,100,82,80
344,285,Shroomish,3,Mushroom Pokémon,Grass,None,0.4,4.5,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35
345,286,Breloom,3,Mushroom Pokémon,Grass,Fighting,1.2,39.2,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70
346,287,Slakoth,3,Slacker Pokémon,Normal,None,0.8,24,Truant,None,None,280,60,60,60,35,35,30
347,288,Vigoroth,3,Wild Monkey Pokémon,Normal,None,1.4,46.5,Vital Spirit,None,None,440,80,80,80,55,55,90
348,289,Slaking,3,Lazy Pokémon,Normal,None,2,130.5,Truant,None,None,670,150,160,100,95,65,100
349,290,Nincada,3,Trainee Pokémon,Bug,Ground,0.5,5.5,Compound Eyes,None,Run Away,266,31,45,90,30,30,40
350,291,Ninjask,3,Ninja Pokémon,Bug,Flying,0.8,12,Speed Boost,None,Infiltrator,456,61,90,45,50,50,160
351,292,Shedinja,3,Shed Pokémon,Bug,Ghost,0.8,1.2,Wonder Guard,None,None,236,1,90,45,30,30,40
352,293,Whismur,3,Whisper Pokémon,Normal,None,0.6,16.3,Soundproof,None,Rattled,240,64,51,23,51,23,28
353,294,Loudred,3,Big Voice Pokémon,Normal,None,1,40.5,Soundproof,None,Scrappy,360,84,71,43,71,43,48
354,295,Exploud,3,Loud Noise Pokémon,Normal,None,1.5,84,Soundproof,None,Scrappy,490,104,91,63,91,73,68
355,296,Makuhita,3,Guts Pokémon,Fighting,None,1,86.4,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25
356,297,Hariyama,3,Arm Thrust Pokémon,Fighting,None,2.3,253.8,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50
357,298,Azurill,3,Polka Dot Pokémon,Normal,Fairy,0.2,2,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20
358,299,Nosepass,3,Compass Pokémon,Rock,None,1,97,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30
359,300,Skitty,3,Kitten Pokémon,Normal,None,0.6,11,Cute Charm,Normalize,Wonder Skin,260,50,45,45,35,35,50
360,301,Delcatty,3,Prim Pokémon,Normal,None,1.1,32.6,Cute Charm,Normalize,Wonder Skin,400,70,65,65,55,55,90
361,302,Sableye,3,Darkness Pokémon,Dark,Ghost,0.5,11,Keen Eye,Stall,Prankster,380,50,75,75,65,65,50
362,302,Mega Sableye,3,Darkness Pokémon,Dark,Ghost,0.5,161,Magic Bounce,None,None,480,50,85,125,85,115,20
363,303,Mawile,3,Deceiver Pokémon,Steel,Fairy,0.6,11.5,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,55,55,50
364,303,Mega Mawile,3,Deceiver Pokémon,Steel,Fairy,1,23.5,Huge Power,None,None,480,50,105,125,55,95,50
365,304,Aron,3,Iron Armor Pokémon,Steel,Rock,0.4,60,Sturdy,Rock Head,Heavy Metal,330,50,70,100,40,40,30
366,305,Lairon,3,Iron Armor Pokémon,Steel,Rock,0.9,120,Sturdy,Rock Head,Heavy Metal,430,60,90,140,50,50,40
367,306,Aggron,3,Iron Armor Pokémon,Steel,Rock,2.1,360,Sturdy,Rock Head,Heavy Metal,530,70,110,180,60,60,50
368,306,Mega Aggron,3,Iron Armor Pokémon,Steel,None,2.2,395,Filter,None,None,630,70,140,230,60,80,50
369,307,Meditite,3,Meditate Pokémon,Fighting,Psychic,0.6,11.2,Pure Power,None,Telepathy,280,30,40,55,40,55,60
370,308,Medicham,3,Meditate Pokémon,Fighting,Psychic,1.3,31.5,Pure Power,None,Telepathy,410,60,60,75,60,75,80
371,308,Mega Medicham,3,Meditate Pokémon,Fighting,Psychic,1.3,31.5,Pure Power,None,None,510,60,100,85,80,85,100
372,309,Electrike,3,Lightning Pokémon,Electric,None,0.6,15.2,Static,Lightning Rod,Minus,295,40,45,40,65,40,65
373,310,Manectric,3,Discharge Pokémon,Electric,None,1.5,40.2,Static,Lightning Rod,Minus,475,70,75,60,105,60,105
374,310,Mega Manectric,3,Discharge Pokémon,Electric,None,1.8,44,Intimidate,None,None,575,70,75,80,135,80,135
375,311,Plusle,3,Cheering Pokémon,Electric,None,0.4,4.2,Plus,None,Lightning Rod,405,60,50,40,85,75,95
376,312,Minun,3,Cheering Pokémon,Electric,None,0.4,4.2,Minus,None,Volt Absorb,405,60,40,50,75,85,95
377,313,Volbeat,3,Firefly Pokémon,Bug,None,0.7,17.7,Illuminate,Swarm,Prankster,430,65,73,75,47,85,85
378,314,Illumise,3,Firefly Pokémon,Bug,None,0.6,17.7,Oblivious,Tinted Lens,Prankster,430,65,47,75,73,85,85
379,315,Roselia,3,Thorn Pokémon,Grass,Poison,0.3,2,Natural Cure,Poison Point,Leaf Guard,400,50,60,45,100,80,65
380,316,Gulpin,3,Stomach Pokémon,Poison,None,0.4,10.3,Liquid Ooze,Sticky Hold,Gluttony,302,70,43,53,43,53,40
381,317,Swalot,3,Poison Bag Pokémon,Poison,None,1.7,80,Liquid Ooze,Sticky Hold,Gluttony,467,100,73,83,73,83,55
382,318,Carvanha,3,Savage Pokémon,Water,Dark,0.8,20.8,Rough Skin,None,Speed Boost,305,45,90,20,65,20,65
383,319,Sharpedo,3,Brutal Pokémon,Water,Dark,1.8,88.8,Rough Skin,None,Speed Boost,460,70,120,40,95,40,95
384,319,Mega Sharpedo,3,Brutal Pokémon,Water,Dark,2.5,130.3,Strong Jaw,None,None,560,70,140,70,110,65,105
385,320,Wailmer,3,Ball Whale Pokémon,Water,None,2,130,Water Veil,Oblivious,Pressure,400,130,70,35,70,35,60
386,321,Wailord,3,Float Whale Pokémon,Water,None,14.5,398,Water Veil,Oblivious,Pressure,500,170,90,45,90,45,60
387,322,Numel,3,Numb Pokémon,Fire,Ground,0.7,24,Oblivious,Simple,Own Tempo,305,60,60,40,65,45,35
388,323,Camerupt,3,Eruption Pokémon,Fire,Ground,1.9,220,Magma Armor,Solid Rock,Anger Point,460,70,100,70,105,75,40
389,323,Mega Camerupt,3,Eruption Pokémon,Fire,Ground,2.5,320.5,Sheer Force,None,None,560,70,120,100,145,105,20
390,324,Torkoal,3,Coal Pokémon,Fire,None,0.5,80.4,White Smoke,Drought,Shell Armor,470,70,85,140,85,70,20
391,325,Spoink,3,Bounce Pokémon,Psychic,None,0.7,30.6,Thick Fat,Own Tempo,Gluttony,330,60,25,35,70,80,60
392,326,Grumpig,3,Manipulate Pokémon,Psychic,None,0.9,71.5,Thick Fat,Own Tempo,Gluttony,470,80,45,65,90,110,80
393,327,Spinda,3,Spot Panda Pokémon,Normal,None,1.1,5,Own Tempo,Tangled Feet,Contrary,360,60,60,60,60,60,60
394,328,Trapinch,3,Ant Pit Pokémon,Ground,None,0.7,15,Hyper Cutter,Arena Trap,Sheer Force,290,45,100,45,45,45,10
395,329,Vibrava,3,Vibration Pokémon,Ground,Dragon,1.1,15.3,Levitate,None,None,340,50,70,50,50,50,70
396,330,Flygon,3,Mystic Pokémon,Ground,Dragon,2,82,Levitate,None,None,520,80,100,80,80,80,100
397,331,Cacnea,3,Cactus Pokémon,Grass,None,0.4,51.3,Sand Veil,None,Water Absorb,335,50,85,40,85,40,35
398,332,Cacturne,3,Scarecrow Pokémon,Grass,Dark,1.3,77.4,Sand Veil,None,Water Absorb,475,70,115,60,115,60,55
399,333,Swablu,3,Cotton Bird Pokémon,Normal,Flying,0.4,1.2,Natural Cure,None,Cloud Nine,310,45,40,60,40,75,50
400,334,Altaria,3,Humming Pokémon,Dragon,Flying,1.1,20.6,Natural Cure,None,Cloud Nine,490,75,70,90,70,105,80
401,334,Mega Altaria,3,Humming Pokémon,Dragon,Fairy,1.5,20.6,Pixilate,None,None,590,75,110,110,110,105,80
402,335,Zangoose,3,Cat Ferret Pokémon,Normal,None,1.3,40.3,Immunity,None,Toxic Boost,458,73,115,60,60,60,90
403,336,Seviper,3,Fang Snake Pokémon,Poison,None,2.7,52.5,Shed Skin,None,Infiltrator,458,73,100,60,100,60,65
404,337,Lunatone,3,Meteorite Pokémon,Rock,Psychic,1,168,Levitate,None,None,460,90,55,65,95,85,70
405,338,Solrock,3,Meteorite Pokémon,Rock,Psychic,1.2,154,Levitate,None,None,460,90,95,85,55,65,70
406,339,Barboach,3,Whiskers Pokémon,Water,Ground,0.4,1.9,Oblivious,Anticipation,Hydration,288,50,48,43,46,41,60
407,340,Whiscash,3,Whiskers Pokémon,Water,Ground,0.9,23.6,Oblivious,Anticipation,Hydration,468,110,78,73,76,71,60
408,341,Corphish,3,Ruffian Pokémon,Water,None,0.6,11.5,Hyper Cutter,Shell Armor,Adaptability,308,43,80,65,50,35,35
409,342,Crawdaunt,3,Rogue Pokémon,Water,Dark,1.1,32.8,Hyper Cutter,Shell Armor,Adaptability,468,63,120,85,90,55,55
410,343,Baltoy,3,Clay Doll Pokémon,Ground,Psychic,0.5,21.5,Levitate,None,None,300,40,40,55,40,70,55
411,344,Claydol,3,Clay Doll Pokémon,Ground,Psychic,1.5,108,Levitate,None,None,500,60,70,105,70,120,75
412,345,Lileep,3,Sea Lily Pokémon,Rock,Grass,1,23.8,Suction Cups,None,Storm Drain,355,66,41,77,61,87,23
413,346,Cradily,3,Barnacle Pokémon,Rock,Grass,1.5,60.4,Suction Cups,None,Storm Drain,495,86,81,97,81,107,43
414,347,Anorith,3,Old Shrimp Pokémon,Rock,Bug,0.7,12.5,Battle Armor,None,Swift Swim,355,45,95,50,40,50,75
